Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,,,Hai phương pháp gần nhau.
cross-doc,Faithfulness,,,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,,,Hai phương pháp gần nhau.
cross-doc,Latency (s),,,GraphRAG không đắt hơn trong sample này.
cross-doc,Token usage,,,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),1.017,0.66,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,680.0,722.0,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Latency (s),0.799,0.661,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,752.0,622.0,GraphRAG không đắt hơn trong sample này.
